Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Website,MainPhone,MainEmail,ContactName1,ContactTitle1,OTCMarketsURL
AMIH,AMERICAN INTL HLDGS CORP,OTCQB,0.25,-9.7017,1035767,Common Stock,USA,Texas,,,,,,
BLEG,BRANDED LEGACY INC,OTCQB,0.3,0.4016,48395,Common Stock,USA,Florida,,,,,,
DPDW,DEEP DOWN INCORP,OTCQB,0.6879,1.1618,80904,Common Stock,USA,Texas,,,,,,
JKSM,JACKSAM CORPORATION,OTCQB,0.145,10.687,4818,Common Stock,USA,California,,,,,,
TOFB,TOFUTTI BRANDS INC,OTCQB,3.08,-0.581,2745,Common Stock,USA,New Jersey,,,,,,
TIKK,TEL-INSTR ELECTRONICS CRP,OTCQB,3.6,-1.3699,8188,Common Stock,USA,New Jersey,,,,,,
TCCO,TECHNICAL COMMUNICATIONS,OTCQB,3.6,3.1519,9335,Common Stock,USA,Massachusetts,,,,,,
SCON,SUPERCONDUCTOR TECHS INC,OTCQB,1.43,-7.7419,10064,Common Stock,USA,Texas,,,,,,
SCIA,SCI ENGINEERED MTRLS INC,OTCQB,2.8375,2.2523,921,Common Stock,USA,Ohio,,,,,,
STLY,HG HOLDINGS INC,OTCQB,0.67,14.3345,200,Common Stock,USA,North Carolina,,,,,,
TMRC,TEXAS MINERAL RESOURCES,OTCQB,3,-4.1534,151499,Common Stock,USA,Texas,,,,,,
SKAS,SAKER AVIATION SVCS,OTCQB,2.58,1.1765,275,Common Stock,USA,New York,,,,,,
CGLO,CORO GLOBAL INC,OTCQB,4.5,9.4891,5799,Common Stock,USA,Florida,,,,,,
SCND,SCIENTIFIC INDUSTRIES INC,OTCQB,10,-0.9901,200,Common Stock,USA,New York,,,,,,
PVCT,PROVECTUS BIOPHARMS,OTCQB,0.069175,0.6914,675994,Common Stock,USA,Tennessee,,,,,,
ROYL,ROYALE ENERGY INC,OTCQB,0.1368,8.1423,24150,Common Stock,USA,California,,,,,,
PEYE,PRECISION OPTICS CORP NEW,OTCQB,1.67,,0,Common Stock,USA,Massachusetts,,,,,,
CPMV,MOSAIC IMMUNOENGINEERING,OTCQB,3.86,,79,Common Stock,USA,California,,,,,,
PRKR,PARKERVISION INC,OTCQB,1.51,0.6667,52351,Common Stock,USA,Florida,,,,,,
MPIR,EMPIRE DIVERSIFIED ENGY,OTCQB,0.45,4.6512,850,Common Stock,USA,Florida,,,,,,
MATN,MATEON THERAPEUTICS INC.,OTCQB,0.249,-7.7778,179575,Common Stock,USA,California,,,,,,
GTII,GLOBAL TECH INDUSTRIES,OTCQB,1.4,7.7752,505755,Common Stock,USA,New York,,,,,,
NROM,NOBLE ROMAN'S INC,OTCQB,0.38,-7.3171,32561,Common Stock,USA,Indiana,,,,,,
GCEH,GLOBAL CLEAN ENGY HLDGS,OTCQB,0.66,22.2222,1058894,Common Stock,USA,California,,,,,,
GRMC,GOLDRICH MINING CO,OTCQB,0.051,10.7492,100508,Common Stock,USA,Washington,,,,,,
BLGO,BIOLARGO INC,OTCQB,0.22255,12.9695,1510860,Common Stock,USA,California,,,,,,
ESMC,ESCALON MEDICAL CORP,OTCQB,0.3611,0.2777,3040,Common Stock,USA,Pennsylvania,,,,,,
RRIF,RAINFOREST RESOURCES INC,OTCQB,2.11,-4.0909,306,Common Stock,USA,Florida,,,,,,
IAIC,INFORMATION ANALYSIS INC,OTCQB,2.95,-1.6667,13756,Common Stock,USA,Virginia,,,,,,
ACUR,ACURA PHARMS INC,OTCQB,0.415,-1.1905,2580,Common Stock,USA,Illinois,,,,,,
OMQS,OMNIQ CORP,OTCQB,9.1,1.1111,4005,Common Stock,USA,Utah,,,,,,
GIGA,GIGA-TRONICS INC,OTCQB,4.49,5.6471,469,Common Stock,USA,California,,,,,,
FCIC,FCCC INC,OTCQB,0.375,,0,Common Stock,USA,Indiana,,,,,,
FMCC,FREDDIE MAC,OTCQB,1.853,0.7065,676033,Common Stock,USA,Virginia,,,,,,
ACFN,ACORN ENERGY INC,OTCQB,0.632,-8.1395,81998,Common Stock,USA,Delaware,,,,,,
CYTR,CYTRX CORP,OTCQB,3.95,-1.7902,42864,Common Stock,USA,California,,,,,,
EQUR,E- QURE CORP,OTCQB,0.04705,-21.5833,400,Common Stock,USA,New York,,,,,,
RSPI,RESPIRERX PHARMA INC,OTCQB,0.0549,-8.5,392299,Common Stock,USA,New Jersey,,,,,,
BERK,BERKSHIRE BANCORP INC,OTCQB,9.7101,,8,Common Stock,USA,New York,,,,,,
RCAT,RED CAT HOLDINGS INC,OTCQB,4.3,-10.0418,42647,Common Stock,USA,Puerto Rico,,,,,,
GLGI,GREYSTONE LOGISTICS INC,OTCQB,0.9465,-2.4227,7172,Common Stock,USA,Oklahoma,,,,,,
BUKS,BUTLER NATL CORP,OTCQB,0.65,,0,Common Stock,USA,Kansas,,,,,,
KOAN,RESONATE BLENDS INC,OTCQB,0.435,6.0717,38835,Common Stock,USA,California,,,,,,
PWCO,PWRCOR INC,OTCQB,0.0848,6,9900,Common Stock,USA,New York,,,,,,
BNET,BION ENVIR TECHS INC,OTCQB,1.7,1.4925,2405,Common Stock,USA,New York,,,,,,
TGHI,TOUCHPOINT GRP HLDGS INC,OTCQB,0.0593,-7.3438,1224743,Common Stock,USA,Florida,,,,,,
MICR,MICRON SOLUTIONS INC,OTCQB,3.2,-3.0303,4757,Common Stock,USA,Massachusetts,,,,,,
ANDR,ANDREA ELECTRONICS CORP,OTCQB,0.0675,-0.1479,16638,Common Stock,USA,New York,,,,,,
ABMC,AMER BIO MEDICA CORP,OTCQB,0.131,-4.0293,215050,Common Stock,USA,New York,,,,,,
IVFH,INNOVATIVE FOOD HLDGS INC,OTCQB,0.47,-4.0816,23949,Common Stock,USA,Florida,,,,,,
RGRX,REGENERX BIOPHARMS INC,OTCQB,0.275,3.4223,389963,Common Stock,USA,Maryland,,,,,,
AMMX,AMERAMEX INTL INC,OTCQB,0.6593,,0,Common Stock,USA,California,,,,,,
RCRT,RECRUITER.COM GROUP,OTCQB,3.35,3.0769,2031,Common Stock,USA,Texas,,,,,,
ADMT,ADM TRONICS UNLTD INC,OTCQB,0.103,,50,Common Stock,USA,New Jersey,,,,,,
USAQ,USA EQUITIES CORP,OTCQB,0.66,10,4243,Common Stock,USA,Florida,,,,,,
EMPR,EMPIRE PETROLEUM CORP,OTCQB,1.225,-0.4065,67189,Common Stock,USA,Oklahoma,,,,,,
CCUR,CCUR HOLDINGS INC,OTCQB,2.77,-0.3597,7150,Common Stock,USA,Georgia,,,,,,
CCTC,CLEAN COAL TECHS INC,OTCQB,0.0099,0,260083,Common Stock,USA,New York,,,,,,
QMCI,QUOTEMEDIA INC,OTCQB,0.2201,-6.3404,118329,Common Stock,USA,Arizona,,,,,,
AMMJ,AMERICAN CANNABIS CO,OTCQB,0.2489,-4.2692,371593,Common Stock,USA,Colorado,,,,,,
AERG,APPLIED ENERGETICS INC,OTCQB,0.775,-1.5873,128487,Common Stock,USA,Arizona,,,,,,
EAWD,ENERGY & WTR DEV CORP,OTCQB,0.285,1.7857,24446,Common Stock,USA,Florida,,,,,,
PWVI,POWERVERDE INC,OTCQB,0.61,-6.1538,65524,Common Stock,USA,Florida,,,,,,
DYNR,DYNARESOURCE INC,OTCQB,0.9,-4.5599,200,Common Stock,USA,Texas,,,,,,
MGTI,MGT CAPITAL INVTS INC,OTCQB,0.0795,-7.7726,3069214,Common Stock,USA,North Carolina,,,,,,
PURE,PURE BIOSCIENCE,OTCQB,0.7755,2.0395,37719,Common Stock,USA,California,,,,,,
BLAB,BIO LAB NATURALS INC CO,OTCQB,1.02,,0,Common Stock,USA,Colorado,,,,,,
AMTY,AMERITYRE CORP,OTCQB,0.076,0,4032,Common Stock,USA,Nevada,,,,,,
PBIO,PRESSURE BIOSCIENCES,OTCQB,2.42,7.5556,25599,Common Stock,USA,Massachusetts,,,,,,
HPTO,HOPTO INC COM,OTCQB,0.51,9.6538,31020,Common Stock,USA,New Hampshire,,,,,,
GNBT,GENEREX BIOTECHNOLOGY,OTCQB,0.31625,-4.1667,531914,Common Stock,USA,Florida,,,,,,
CLOK,CIPHERLOC CORP,OTCQB,0.21,-8.6957,66103,Common Stock,USA,Texas,,,,,,
CNCG,CONCIERGE TECHS INC,OTCQB,3.05,0.9934,300,Common Stock,USA,California,,,,,,
PTIX,PROTAGENIC THERA INC,OTCQB,6.25,7.7586,200,Common Stock,USA,New York,,,,,,
FNMA,FANNIE MAE,OTCQB,1.8935,-0.8639,2575816,Common Stock,USA,Washington DC,,,,,,
RSTN,RDE INC,OTCQB,2.99,1.3559,6935,Common Stock,USA,Georgia,,,,,,
MNTR,MENTOR CAPITAL INC,OTCQB,0.17,-5.6342,68517,Common Stock,USA,Texas,,,,,,
JSDA,JONES SODA CO,OTCQB,0.49,5.8315,71502,Common Stock,USA,Washington,,,,,,
DFCO,DALRADA FINCL CORP,OTCQB,0.361,-8.1191,91035,Common Stock,USA,California,,,,,,
GTHP,GUIDED THERAPEUTCS INC,OTCQB,0.745,-5.6962,6871,Common Stock,USA,Georgia,,,,,,
INIS,INTL ISOTOPES INC,OTCQB,0.12,-9.0909,484317,Common Stock,USA,Idaho,,,,,,
KGKG,KONA GOLD SOLUTIONS INC,OTCQB,0.0388,-2.7569,1906215,Common Stock,USA,Florida,,,,,,
MHTX,MANHATTAN SCIENTIFICS INC,OTCQB,0.0394,6.7751,1333642,Common Stock,USA,New York,,,,,,
INTI,INHIBITOR THERAPTICS INC,OTCQB,0.081,-19,4460,Common Stock,USA,Florida,,,,,,
NANX,NANOPHASE TECHS CORP,OTCQB,1.25,4.1667,27400,Common Stock,USA,Illinois,,,,,,
DTGI,DIGERATI TECHS INC,OTCQB,0.21,0.0476,767083,Common Stock,USA,Texas,,,,,,
BEGI,BLACKSTAR ENTERPRISE GRP,OTCQB,0.06757,-3.4714,3071448,Common Stock,USA,Colorado,,,,,,
ATMS,ARTEMIS THERAPEUTICS INC,OTCQB,0.359,,0,Common Stock,USA,New York,,,,,,
CAPC,CAPSTONE COMPANIES INC,OTCQB,2.05,4.0609,112910,Common Stock,USA,Florida,,,,,,
VKIN,VIKING ENERGY GROUP INC,OTCQB,0.7805,-16.9681,19222,Common Stock,USA,Texas,,,,,,
BWMG,BROWNIE'S MARINE GRP INC,OTCQB,0.0504,-11.5789,585760,Common Stock,USA,Florida,,,,,,
BEBE,BEBE STORES INC,OTCQB,5.87,-0.1701,233,Common Stock,USA,California,,,,,,
WDDD,WORLDS INC,OTCQB,0.4301,0.0233,45977,Common Stock,USA,Massachusetts,,,,,,
ELTP,ELITE PHARMS INC,OTCQB,0.058755,1.3017,909536,Common Stock,USA,New Jersey,,,,,,
RDGL,VIVOS INC,OTCQB,0.117,-0.7634,1477092,Common Stock,USA,Washington,,,,,,
SYTE,ENTERPRISE DIVERSIFIED,OTCQB,7.15,-1.3793,109,Common Stock,USA,Virginia,,,,,,
PGTK,PACIFIC GREEN TECHS,OTCQB,2.43,-6.5385,48719,Common Stock,USA,Delaware,,,,,,
INVU,INVESTVIEW INC,OTCQB,0.123,-5.3846,887893,Common Stock,USA,New Jersey,,,,,,
SPIN,SPINE INJURY SOLUTIONS,OTCQB,0.11,-8.3333,19700,Common Stock,USA,Texas,,,,,,
KAYS,KAYA HOLDINGS INC,OTCQB,0.452,-16.2963,39260,Common Stock,USA,Florida,,,,,,
ALRT,ALR TECHS INC,OTCQB,0.059,0,9237,Common Stock,USA,Virginia,,,,,,
SKVI,SKINVISIBLE INC,OTCQB,0.121,-3.2,4345,Common Stock,USA,Nevada,,,,,,
HGTXU,HUGOTON ROYALTY TR UBI,OTCQB,0.124,21.5686,12332,Common Stock,USA,Texas,,,,,,
MDXL,MEDIXALL GROUP INC,OTCQB,1.3,-5.7971,5900,Common Stock,USA,Florida,,,,,,
VPLM,VOIP PAL.COM INC,OTCQB,0.0158,0.9585,1319149,Common Stock,USA,Washington,,,,,,
ATGN,ALTIGEN COMMUNS INC,OTCQB,2.45,-2,6810,Common Stock,USA,California,,,,,,
TKOI,TELKONET INC,OTCQB,0.043,-4.4444,75183,Common Stock,USA,Wisconsin,,,,,,
ZIVO,ZIVO BIOSCIENCE INC,OTCQB,0.1499,-0.0667,30835,Common Stock,USA,Michigan,,,,,,
IWSY,IMAGEWARE SYS INC,OTCQB,0.11,-1.1991,554563,Common Stock,USA,California,,,,,,
LIVC,LIVE CURRENT MEDIA INC,OTCQB,0.2299,4.5,92653,Common Stock,USA,Nevada,,,,,,
MMND,MASTERMIND INC,OTCQB,0.375,,0,Common Stock,USA,Georgia,,,,,,
STHI,SPROUT TINY HOMES,OTCQB,0.35,-22.2222,39678,Common Stock,USA,Colorado,,,,,,
UNIR,UNIROYAL GBL ENG PRODS,OTCQB,1.61,-0.6173,700,Common Stock,USA,Florida,,,,,,
PFHO,PACIFIC HLTH CRE ORGZ INC,OTCQB,1.11,,72,Common Stock,USA,California,,,,,,
BABB,BAB INC,OTCQB,0.7,1.2592,6891,Common Stock,USA,Illinois,,,,,,
RKFL,ROCKETFUEL BLOCKCHAIN INC,OTCQB,1.47,1.3793,17325,Common Stock,USA,Nevada,,,,,,
FALC,FALCONSTOR SOFTWARE,OTCQB,4.64,,0,Common Stock,USA,Texas,,,,,,
GLXZ,GALAXY GAMING INC,OTCQB,2.82,0.7143,40710,Common Stock,USA,Nevada,,,,,,
GAXY,GALAXY NEXT GENERATION,OTCQB,0.0247,-12.0996,54838023,Common Stock,USA,Georgia,,,,,,
PKTX,PROTOKINETIX INC,OTCQB,0.2,5.2632,101736,Common Stock,USA,Ohio,,,,,,
NWBO,NORTHWEST BIOTHRPUTCS INC,OTCQB,1.58,-2.1672,1526363,Common Stock,USA,Maryland,,,,,,
TPTW,TPT GLOBAL TECH INC,OTCQB,0.04,0,3439922,Common Stock,USA,California,,,,,,
ADMQ,ADM ENDEAVORS INC,OTCQB,0.088,-6.8783,463492,Common Stock,USA,Texas,,,,,,
INLX,INTELLINETICS INC,OTCQB,4.16,,0,Common Stock,USA,Ohio,,,,,,
LQMT,LIQUIDMETAL TECHS INC,OTCQB,0.097,0,477882,Common Stock,USA,California,,,,,,
TAUG,TAURIGA SCIENCES INC,OTCQB,0.138,-6.1224,1243645,Common Stock,USA,New York,,,,,,
CRTG,THE CORETEC GROUP INC,OTCQB,0.17,-8.1081,131403,Common Stock,USA,Michigan,,,,,,
PMCB,PHARMACYTE BIOTECH INC,OTCQB,0.0195,-4.4118,2991389,Common Stock,USA,California,,,,,,
SENR,STRATEGIC ENVIR&ENGY RES,OTCQB,0.45,11.2485,500,Common Stock,USA,Colorado,,,,,,
MEEC,MIDWEST ENERGY EMISSION,OTCQB,1.31,6.5041,411008,Common Stock,USA,Texas,,,,,,
IVDN,INNOVATIVE DESIGNS INC,OTCQB,0.2761,-0.5045,950,Common Stock,USA,Pennsylvania,,,,,,
GBLX,GB SCIENCES INC,OTCQB,0.06275,2.7005,586839,Common Stock,USA,Nevada,,,,,,
CRVW,CAREVIEW COMMUNS INC,OTCQB,0.239,19.5,108089,Common Stock,USA,Texas,,,,,,
MJHI,MJ HARVEST INC,OTCQB,1.42,-5.3396,1697,Common Stock,USA,Nevada,,,,,,
PHOT,GROWLIFE INC,OTCQB,0.185,0.1082,728726,Common Stock,USA,Washington,,,,,,
KBPH,KYTO TECH & LIFE SCIENCE,OTCQB,1.9,,0,Common Stock,USA,California,,,,,,
MDEX,MADISON TECHNOLOGIES INC,OTCQB,0.82,-12.766,769,Common Stock,USA,New York,,,,,,
BMNM,BIMINI CAPITAL MGMT INC A,OTCQB,1.5,4.8951,2142,Common Stock,USA,Florida,,,,,,
ABVC,AMERICAN BRIVISION HLDG,OTCQB,4.4,0,1000,Common Stock,USA,California,,,,,,
DTRC,DAKOTA TERRITORY RES CORP,OTCQB,0.51,-1.9231,27410,Common Stock,USA,South Dakota,,,,,,
QUBT,QUANTUM COMPUTING INC,OTCQB,7.886,19.4848,199760,Common Stock,USA,Virginia,,,,,,
SUND,SUNDANCE STRATEGIES INC,OTCQB,7.5,-9.0909,1838,Common Stock,USA,Utah,,,,,,
MOST,MOBILESMITH  INC,OTCQB,3.23,,0,Common Stock,USA,North Carolina,,,,,,
MOBQ,MOBIQUITY TECH INC,OTCQB,7.75,-4.321,1100,Common Stock,USA,New York,,,,,,
KAVL,KAIVAL BRANDS INNOVATIONS,OTCQB,1.6,-21.1823,841037,Common Stock,USA,Florida,,,,,,
TSSI,TSS INC,OTCQB,0.86,0,9450,Common Stock,USA,Texas,,,,,,
QSAM,QSAM BIOSCIENCES INC,OTCQB,0.68,4.6154,30587,Common Stock,USA,Texas,,,,,,
CYDY,CYTODYN INC,OTCQB,2.3,-4.5643,2355398,Common Stock,USA,Washington,,,,,,
MODD,MODULAR MEDICAL INC,OTCQB,4.5,,0,Common Stock,USA,California,,,,,,
ZDPY,ZONED PROPERTIES INC,OTCQB,0.57,-4.0404,1350,Common Stock,USA,Arizona,,,,,,
KNWN,KNOW LABS INC,OTCQB,3.2,-2.7356,21268,Common Stock,USA,Washington,,,,,,
CETY,CLEAN ENERGY TECHNOLOGIES,OTCQB,0.07225,-6.7742,1364296,Common Stock,USA,California,,,,,,
SMME,SMARTMETRIC INC,OTCQB,0.0302,-8.4848,279175,Common Stock,USA,Nevada,,,,,,
PALT,PALTALK INC,OTCQB,3.07,39.5455,96504,Common Stock,USA,New York,,,,,,
ESOA,ENERGY SVCS AMERICA CRP,OTCQB,1.9,-2.5641,12715,Common Stock,USA,West Virginia,,,,,,
CPWR,OCEAN THERMAL ENERGY CORP,OTCQB,0.03,-5.6604,57825,Common Stock,USA,Pennsylvania,,,,,,
AHNR,ATHENA SILVER CORP,OTCQB,0.09,-10,5532,Common Stock,USA,California,,,,,,
PBSV,PHARM-BIO SERV INC,OTCQB,1.15,-6.5041,23587,Common Stock,USA,Puerto Rico,,,,,,
NLST,NETLIST INC,OTCQB,1.89,-1.5625,378041,Common Stock,USA,California,,,,,,
WCRS,WESTERN CAPITAL RES,OTCQB,6.47,-2.7068,2021,Common Stock,USA,Nebraska,,,,,,
IPIX,INNOVATION PHARMACEUTICAL,OTCQB,0.269,-6.9204,694026,Common Stock,USA,Massachusetts,,,,,,
CVAT,CAVITATION TECHS INC,OTCQB,0.0625,3.9933,1046998,Common Stock,USA,California,,,,,,
SURG,SURGEPAYS INC,OTCQB,0.4303,-6.4565,3426855,Common Stock,USA,Tennessee,,,,,,
CNBX,CANNIBICS PHARMACEUTICALS,OTCQB,0.3209,-1.8879,238932,Common Stock,USA,Maryland,,,,,,
GLNS,GOLDEN STAR RES CORP,OTCQB,1.15,,0,Common Stock,USA,Nevada,,,,,,
KTEL,KONATEL INC,OTCQB,0.25,3.3271,30000,Common Stock,USA,Texas,,,,,,
ABMT,ADVANCED BIOMEDICAL TECHS,OTCQB,0.16,-5.8824,9549,Common Stock,USA,New York,,,,,,
LUVU,LUVU BRANDS INC,OTCQB,0.148,5.7143,52511,Common Stock,USA,Georgia,,,,,,
SRGZ,STAR GOLD CORP,OTCQB,0.03515,,0,Common Stock,USA,Idaho,,,,,,
OMTK,OMNITEK ENGINEERING CORP,OTCQB,0.163,5.9749,12495,Common Stock,USA,California,,,,,,
OPXS,OPTEX SYSTEMS HLDGS INC,OTCQB,1.95,1.8277,9211,Common Stock,USA,Texas,,,,,,
TPCS,TECHPRECISION CORP,OTCQB,1.3,0,11407,Common Stock,USA,Massachusetts,,,,,,
RSLS,RESHAPE LIFESCIENCES INC,OTCQB,4.7,-1.0526,441,Common Stock,USA,California,,,,,,
NAUH,NATL AMER UNIVERSITY HLDG,OTCQB,0.154,-30.9417,33553,Common Stock,USA,South Dakota,,,,,,
CNFN,CFN ENTERPRISES INC,OTCQB,0.095,-1.0417,16800,Common Stock,USA,Montana,,,,,,
YEWB,YEW BIO PHARM GROUP INC,OTCQB,0.1363,,0,Common Stock,USA,California,,,,,,
SGSI,SPECTRUM GLBL SOLUTIONS,OTCQB,0.4,0,143520,Common Stock,USA,Florida,,,,,,
DTST,DATA STORAGE CORP,OTCQB,0.237,5.5679,198056,Common Stock,USA,New York,,,,,,
KBLB,KRAIG BIOCRAFT LABS INC,OTCQB,0.1675,4.8185,515951,Common Stock,USA,Michigan,,,,,,
ICNB,ICONIC BRANDS INC,OTCQB,0.45,9.7561,55389,Common Stock,USA,New York,,,,,,
